,0,1,gold_simple
1453,go to sleep,crash,0
1454,telling,saying that,0
1455,joseph,jose,1
1456,my children,kid,1
1457,pathogen,disease-causing,1
1458,managing director,directors,1
1460,independents,independent members,1
1461,object,its goal,1
1463,readily,more easily,1
1464,threatens,threatening,1
1465,taps,faucets,0
1466,to go away,go,1
1467,my children,boys,1
1468,uploads,upload,1
1470,the keys,keyboard,0
1471,their trade,occupation,0
1473,government,embassies,0
1474,revive,re-establish,0
1475,hate when that happens,hate,1
1476,freedom,free choice,0
1477,made possible,enabled,0
1479,the shooting,gunfire,0
1480,the machinery,mechanical,0
1482,landowner,landlord,1
1483,returned,back in,1
1484,new ways,means,0
1485,our times,era,0
1486,preparatory,pre-production,1
1488,borrowing,a mortgage,0
1490,provides,are offering,0
1491,be analysed,analyze,1
1492,sensors,probes,1
1493,the goal,targeting,0
1494,the big,great,0
1495,its goal,aims,1
1496,overpasses,footbridges,0
1497,announcements,a message,1
1499,public education,instruction,1
1500,the scale,scope,1
1501,new equipment,materials,0
1502,their neighbours,neighbor,1
1503,is too expensive,expensive,1
1504,unlock,be reopened,0
1505,high-end,fashionable,0
1506,mechanism established,mechanism,1
1507,developmental,developed,1
1509,the general,chief,1
1512,re-entry,comeback,1
1513,the film,cinema,0
1514,withdrawn,opt out,0
1515,steady,consistent,0
1518,robes,bathrobes,0
1519,there are,existing,0
1520,user,a customer,0
1521,cares,are interested,0
1522,regular,day-to-day,0
1523,to assist,enable,0
1525,were built,instituted,0
1526,today,do now,0
1528,paws,claws,1
1530,clients,a patient,1
1531,religion,'s religion,1
1532,whales,beluga whales,0
1533,the arena,stadium,1
1534,yes .,yeah,1
1535,sheltered,insulated,0
1536,would say,tells,1
1537,upbringing,their education,1
1538,devotees,advocates,0
1539,trimming,decreasing,0
1540,unanimously agreed,unanimously,1
1541,hum,hmmm,1
1543,preparing for,planned,1
1544,senses,brains,1
1545,valid,is ok,1
1546,decreases,decays,0
1547,typhoon,strong winds,1
1548,fuss,clamor,0
1549,ended,are done,0
1551,down,are low,0
1552,the love,lovers,0
1553,scoreboard,board,1
1554,thoughts,new ideas,0
1555,ties,relate,0
1557,free of charge,free,1
1558,penalty,penalization,0
1561,omitted,neglect,1
1562,is low,few,1
1563,some components,aspects,0
1564,sidestep,dodge,1
1565,the back,background,0
1566,shady,questionable,0
1567,tallest,greater,1
1568,typhoon,cyclone,1
1570,occupationally exposed,exposed,1
1573,decomposes,decays,1
1576,timidly,cautiously,1
1577,users,a customer,1
1578,selected,be considered,0
1579,push,pressure,0
1580,hawk,falcon,1
1581,the kidnapping,kidnap,1
1582,indictment,condemnation,1
1583,wire harness,harness,1
1584,today 's,nowadays,0
1585,strictly,closely,1
1586,extreme,a maximum,0
1587,yourself,the customer,0
1590,diversion,distraction,1
1591,to purchase,shopping,1
1592,australians,aboriginals,1
1594,gripped,grabbed,1
1595,managing director,director,1
1596,vast,large-scale,1
1597,updating,continuation,0
1598,to eat,ate,0
1599,andersson,anderson,1
1600,the positions,situations,1
1601,receive,be charged,0
1602,peoples,a nation,0
1603,very hungry,hungry,1
1604,longevity,lifespan,1
1606,the neighbours,neighbor,1
1607,worst,the worse,1
1608,the strong,strength,1
1609,was falling,decline,0
1610,the legislative,legislator,1
1611,line,a pipeline,0
1612,techniques,methodology,0
1613,trend,this tendency,0
1615,very strong,strongly,0
1617,is using,employs,0
1618,reversed,repaired,1
1619,villagers ',village,1
1622,the men,boys,1
1623,tracking,orbiting,1
1624,others,all other,0
1625,virtually,nearly all,1
1627,proposition,assertion,1
1628,the living,mankind,0
1629,coruna,corona,1
1630,section,a branch,0
1631,an actress,actor,1
1632,hollows,cavities,0
1633,time to time,periods,0
1634,growth,fungal,0
1635,criticism,critic,1
1636,very similar,like,1
1637,withdrew,exited,1
1639,promoting,promoters,1
1640,vaccine,the vaccination,1
1641,updating,developing,1
1642,demonstrations,activists,1
1643,reduces,decays,0
1646,choose,a choice,0
1647,well,just as well,0
1649,vaccine,new vaccines,1
1650,solution,resolving,0
1651,be explored,analyze,0
1655,retreat,opt out,1
1656,the standards,norm,1
1657,secretly,covertly,0
1658,observed,observations,0
1659,volunteering,social work,0
1660,throughout,all around,1
1661,nearly all,mostly,1
1662,knowledge,awareness of,0
1663,unnoticed,overlooked,1
1664,standards and norms,norms,1
1665,preserves,conservation,1
1667,gunfire,fire,1
1668,shores,beaches,1
1669,own-account,independent,1
1670,tearing,dividing,0
1671,commission,a committee,1
1673,template,modeling,1
1674,the promoters,proponent,0
1675,not many,minimal,0
1676,cancers,cancer research,0
1677,personal data,database,1
1678,occupied territory,occupation,1
1679,forwards,forward,1
1682,ratings,ranks,0
1683,is possible,feasible,0
1684,thesaurus,dictionary,1
1685,thrives,succeeds,1
1686,smoke,puff,0
1687,rescued,been saved,1
1688,to happen,occur,1
1689,new equipment,gear,1
1690,medicine,medication,0
1692,shit,junk,1
1693,the sample,example,0
1696,treasures,inheritances,0
1697,the owner,holder,0
1698,the general,secretary-general,0
1699,steady,regular,1
1700,whales,blue whales,0
1701,greater,even further,0
1702,myth,folklore,1
1703,raise,brought up,1
1704,outraged,angered,1
1705,smoothly,more easily,1
1706,the building blocks,basics,1
1707,scuba,dive,1
1709,nowadays,more recently,0
1710,wide,a big one,1
1711,has received,getting,1
1712,likewise,just as well,1
1713,presence,its existence,0
1714,authors,author 's,0
1715,reduce,fewer,1
1716,fight back,defended,0
1718,fiftieth,50th,1
1719,maintaining,be preserved,0
1720,is granted,earned,1
1721,puff,drag,1
1722,worldwide,all around,1
1723,the opponents,enemies,1
1724,broadcasts,airs,1
1725,thinks,feel that,0
1728,modelling,modeling,1
1729,valued,treasures,1
1730,is ok,fine,0
1731,the liberty,permits,1
1732,high-level,high-end,1
1733,has created,caused,1
1734,return,goes back,1
1736,sweets,honey,0
1737,pending,hang on,1
1738,puff,haze,0
1741,infections,health problems,1
1742,neglect,be disregarded,0
1743,the wife,her,1
1744,studied,been reviewed,0
1746,fiery,enthusiastic,1
1747,the field of biotechnology,biotechnology,1
1748,were examined,studied,0
1750,unanimously,unanimous agreement,1
1752,2006,'s 2006,0
1753,makeshift,last-minute,1
1755,grown-ups,folks,0
1756,restrict,curb,1
1757,lynne,len,1
1758,the discussion,debates,1
1759,target,prey,0
1760,cocoa,cacao,1
1762,happened,go down,0
1764,is applied,applications,0
1765,observing,monitoring,0
1767,overcame,conquered,1
1769,supporting,provide assistance,0
1770,renovated,modified,1
1773,outlined,announced,1
1774,touched,hit it,1
1775,their communications,presentations,1
1776,the site,area,1
1777,gender,both girls and boys,1
1778,reignite,kindle,1
1779,records,'s records,0
1781,their election,re-election,1
1782,go down,dropped,0
1784,nut,idiot,1
1785,the stress,emphasis,0
1786,most,a majority,0
1788,are based,are,1
1793,outlaw,illegal,1
1794,more easily,easy,1
1795,crashed,accident,0
1796,supporting,favouring,0
1797,what 's coming,coming,1
1798,sacred,blessed,1
1799,goggles,glasses,1
1800,independents,independent sources,1
1801,growth,grow up,1
1805,viewable,display,1
1806,scenes,landscapes,0
1807,recognizes,honors,0
1810,stuff,junk,0
1812,provincial governments,government,1
1813,postings,communications,1
1814,rid,erase,0
1817,to flee,flight,0
1819,the surgery,operation,1
1820,interpreted,been considered,1
1821,tasks,duty,1
1822,deficits,budgets,1
1824,answered,answer the phone,0
1825,puppet,doll,1
1826,threatening,endangering,0
1827,the positions,places,1
1828,times,an age,0
1830,discussions,discuss this issue,0
1831,preserves,ensuring,0
1833,envelopes,encompassed,0
1834,nearly all,everything,1
1837,landing,land,1
1838,penalty,losses,1
1840,proposal,petition,1
1841,the elements,factors,1
1842,succeed,came through,1
1843,anderson,andersen,1
1844,pro-democracy,democratizing,1
1845,discomfort,annoyance,1
1846,wastes,debris,0
1847,rookie,recruit,0
1848,quarters,households,1
1849,photos,filming,0
1851,the goal,achieve,0
1852,overlooked,forgotten,1
1853,norm,a standard,0
1854,to remain,sustained,0
1855,typhoon,a hurricane,1
1856,treasured,cherished,0
1857,wildfire,a forest fire,1
1859,simplify matters,simplified,1
1860,thrilled,so grateful,1
1863,ruling,make decisions,1
1864,the footsteps,strides,0
1865,son,lad,0
1867,helicopter,chopper,1
1868,triggered,spurred,0
1869,lots,a pile,0
1870,contribute,be involved in,1
1871,"27,000.00","27,000",1
1872,product,medicine,1
1873,the 1970s,1971,1
1874,proposing,be offered,1
1875,the dots,marks,0
1876,writings,an essay,0
1877,saturation,saturated,1
1878,landowner,homeowner,1
1879,simplified,be streamlined,0
1880,rebound,getting better,1
1881,buddies,allies,0
1883,minor,is low,1
1884,simplified,been streamlined,0
1885,observing,discovering,1
1886,counsels,advisory,1
1888,historically,conventionally,0
1889,paychecks,earnings,1
1890,political party,parties,1
1891,has increased,grow,1
1893,identify,be recognised,0
1894,situations,aspects,1
1895,the eruption,explosion,1
1896,thrilled,so excited,1
1897,pro-democracy,democracy,1
1898,the opportunity,options,1
1900,intelligence,intel,1
1901,u.s.,north america,0
1902,swimmer,swim,1
1903,passionate,fiery,1
1904,the vehicles,motor,1
1905,tall,long,1
1906,youngsters,a young age,1
1907,the cargo,shipment,0
1908,seize,prey,1
1910,secrets,secretly,0
1912,scrambling,rushing,1
1913,earned,acquired,0
1914,to flee,escaped,1
1915,the vicinity,proximity,1
1916,standards,limits,1
1917,tougher,more complex,0
1919,prepare,preparatory,0
1920,levels,high-level,0
1921,proposes,are offering,1
1923,list,a full list of,0
1924,societies,community groups,1
1926,our lives,living,1
1927,very strong,brave,0
1929,saturated,overcrowded,1
1930,woundings,wounded,1
1931,squeal,louder,1
1932,the mediterranean region,mediterranean,1
1933,wore,have on,0
1934,hardship,discomfort,1
1936,sitter,caregiver,0
1937,progress,getting better,1
1939,self-esteem,esteem,1
1940,the teacher,educators,0
1941,names,name,1
1942,smokescreen,distraction,1
1943,filipino,filipina,1
1944,states,saying that,0
1945,grow up,evolve,0
1946,tying,ties,1
1947,is expected,hopes,1
1948,return,re-election,0
1949,pathogen,bioweapon,1
1950,inspiring,hopeful,1
1951,delayed,being held,1
1952,keen,fierce,1
1953,toys,sets,0
1954,removes,pulls,1
1955,stamp,label,0
1956,scare,'re scared,1
1957,landing,arrivals,1
1958,establishment,efforts to establish a,1
1959,pro-democracy,democrat,1
1961,promotes,promoters,0
1962,very similar,same,1
1963,proposition,its proposal,1
1966,the educational sector,educators,1
1967,the site,establishment,0
1968,timeline,time-scale,0
1970,self-reliant,independent,1
1971,voids,cavities,1
1972,cash benefits,allowance,1
1974,prey,attack,1
1976,nearly all,almost,1
1977,the machinery,machines,1
1978,kelly,kelley,1
1979,meat,carne,0
1980,reject,opt out,0
1982,harmonize,coordinate,1
1983,navigating,navigate,1
1986,undergraduates,pupils,1
1988,stone,marble,0
1989,truckload,batch,0
1990,evil,cursed,0
1991,the love,lover,1
1992,teachers,language teachers,0
1993,lynne,lyn,1
1994,perpetually,permanently,1
1995,treasured,much appreciated,1
1996,possibilities,new ways,1
1997,presidency,a president,1
1998,sponsoring,fund,1
1999,wildfire,a fire,1
2002,pro,a professional,0
2003,christianity,christian,1
2004,gauges,calculates,1
2005,existing,are already available,1
2006,journalists,correspondents,0
2007,vast,tall,1
2009,sure you do,assured,0
2010,times,time to time,0
2011,scared,scare,1
2012,the angle,perspectives,0
2013,very carefully,cautiously,0
2014,further,far off,1
2016,rafts,liferafts,0
2018,suck,failed,1
2020,amass,accumulate,1
2021,neighbourhood,chinatown,0
2022,toppled,crashed,1
2024,sicker,illness,0
2025,the funds,subsidies,0
2026,the methods,models,1
2027,rooms,condos,0
2028,they all,everyone,1
2029,reasons,explanations,0
2030,tides,floods,1
2032,organizations,community groups,1
2033,new cars,auto,0
2034,the agent,officer,1
2037,investigated,be verified,0
2038,viewers,crowds,1
2040,kathrin,catherine,1
2041,my heart,hearts,1
2043,makeshift,improvised,1
2044,old,an age,0
2045,the smoke,fumes,0
2047,more easily,easier,1
2048,stadium,gym,1
2049,auto,a car,1
2051,"johannesburg , south africa",johannesburg,1
2052,overly,far too much,1
2053,thinks,think happened,0
2054,has decided,decisions,0
2055,shadow,shade,0
2057,rise,has increased,0
2058,its independence,independents,1
2059,practiced,devoted,0
2060,the studies,survey,1
2062,ravaged,plagued,1
2063,nails,fingers,1
2068,the entrance,admission,0
2069,enraged,angered,1
2070,rebuild,be built,0
2072,to eat,eaten,1
2073,the advocates,promoters,1
2074,the wife,bride,0
2075,fraternity,fellowship,1
2076,is released,deploy,0
2079,opposed,argued,1
2081,the wife,lady,1
2082,18-year-old,18 years old,1
2083,so well,perfectly,0
2084,pardon,excuse,1
2085,database,data banks,0
2086,sanitation,sanitary facilities,0
2087,hawking,hawkers,1
2088,preserves,be preserved,1
2091,enjoy,benefit from,0
2094,incorporate,harness,1
2095,youths,young man,0
2096,trap,catches,0
2097,intel,data,1
2098,principals,managing director,0
2099,some,one or two,0
2100,u.s,north america,0
2101,the vicinity,neighborhoods,1
2102,exposed,exhibit,0
2103,the opinions,perspectives,0
2104,legal practice,attorney,1
2106,production,food production,0
2107,widely held,rampant,1
2108,arrangement,any agreement,1
2110,deserve,be entitled,0
2111,unrelated,disjointed,0
2112,choosing,a choice,1
2113,resting,rest now,1
2114,miriam,mariam,1
2115,domain,area that,1
2116,people,a nation,0
2117,moving,going away,0
2119,reused,re-using,1
2120,1960s,1960,1
2121,go down,collapse,0
2122,issue,is a problem,1
2123,the vehicles,cars,1
2124,restrict,impede,0
2125,their lawyers,advocates,0
2128,offended,insulted,1
2129,soon afterward,afterward,1
2130,uncertainty,skepticism,0
2131,progresses,are moving forward,0
2133,far off,far,1
2134,is able to,gonna,1
2135,sport,basketball,0
2137,decision,decides that,0
2138,the games,events,0
2139,housing units,estate,0
2140,envelopes,bundles,1
2141,television programmes,broadcasts,0
2142,their elections,re-election,1
2143,well-off,riche,0
2144,helicopter gunships,helicopter,1
2145,dorm,bunkhouse,0
2146,evaluated,been investigated,0
2147,farmland,agriculture,0
2148,protests,opposed,0
2149,suspicion,some questions,1
2150,caroline jackson,caroline,1
2151,the elders,elderly,1
2152,the dance,prom,0
2153,has reached,arrived,0
2154,their case,issue,1
2155,sacred,noble,1
2156,nuisance,brat,1
2157,highly educated,educated,1
2158,options,menus,0
2159,to flee,running,1
2160,coordinated,carried out,1
2162,performer,musicians,1
2163,succeeds,passes,1
2164,to grow,growth,0
2165,press,a reporter,1
2167,demonstrators,demonstrations,1
2168,the subjects,object,1
2170,senior,high-level,1
2172,was identified,established,0
2173,compositions,an essay,1
2175,additional,addition to,1
2176,205th,205,1
2177,it possible,able,1
2178,was declared,declaration,0
2179,transmitting,emitting,1
2180,computers,a personal computer,0
2182,the weather,climate,1
2184,clinique,clinic,1
2185,destination,aimed,1
2187,sleeps,go to sleep,1
2188,welfare,social work,1
2190,alexandra,alexander,1
2191,the entrance,gate,1
2192,students,our youth,0
2193,teaching,college,0
2194,street,highways,0
2195,fought,fight back,1
2197,juvenile,a young age,1
2198,our businesses,firms,0
2199,lobbying,campaign,1
2200,pipes,a pipeline,1
2201,suppression,repressive measures,0
2202,practiced,been complied with,0
2203,this state,arkansas,0
2205,styrofoam,foam,1
2206,temptation,enticement,0
2210,social work,outreach,1
2211,succeeds,is to succeed,1
2214,pictures,film,0
2215,the subjects,matter,1
2216,passed,came through,0
2217,unfortunate,cursed,1
2218,makeshift,impromptu,0
2219,has received,collected,0
2220,prohibits,outlaw,1
2221,fragmentation,fracturing,1
2222,religion,ideology,0
2224,the garbage,scraps,1
2225,coming home,coming,1
2226,climate changes,climate,1
2227,wounded,injured,0
2228,slowed,'re slowing down,1
2230,the year 1997,1997,1
2231,decision,board 's decision,0
2232,gone down,decrease,0
2233,sought out,requested,0
2234,kidnapping,kidnap,1
2235,honeybees,bees,1
2236,limit,a maximum,0
2239,shot,pictures,1
2240,sperm,semen,0
2242,wreckage,debris,0
2243,rocket attacks,missile,1
2246,the instructions,guidance,0
2248,18-year-old,18-year,0
2249,politician,a political,0
2251,pin,nail,1
2252,far off,apart,1
2253,trend,leading,0
2255,stations,broadcasts,0
2258,older,old enough,0
2259,grow,be built,1
2261,rachel,rachael,1
2262,lavish,generous,1
2263,shall,is able to,1
2264,is one,belongs,0
2266,lows,lower,1
2267,young,a young age,0
2268,unskilled,low-wage,0
2269,having fun,happy,1
2271,that region,regional,0
2272,salaires,paychecks,1
2274,way,a long way,0
2275,marthe,martha,1
2276,has created,creates,1
2278,perception,awareness of,1
2279,semen,seed,1
2280,understood,been known,0
2281,evaluate,be considered,1
2282,the defense ministry,pentagon,1
2283,eaton 's,eaton,1
2284,swore,cursed,1
2285,cervical cancer,cancers,1
2286,materials,fibers,0
2287,expand,adding to,1
2288,the city,kabul,0
2289,raised,brought up,1
2290,record,listed,1
2291,infestation,contamination,1
2293,hate messages,hate,1
2294,the house,residence,0
2295,the same way,similar,0
2296,those actions,steps,1
2297,trash,the garbage,1
2298,kiddo,5-year-old,0
2299,were built,established,0
2300,input,an opinion,0
2302,six-,6th,0
2303,ruins,remains,1
2306,policeman,an officer,0
2307,positioned,poised,0
2308,turning,turned back,1
2310,interpreted,been explained,1
2312,wonders,questions,1
2313,the positions,location,1
2315,dr.,a physician,0
2317,was falling,declining,1
2318,fungus,fungal,1
2319,volunteers,social work,0
2320,sweets,cupcakes,0
2321,up-coming,coming,1
2322,the procedure,technique,0
2323,pleased about that,happiest,1
2326,instances,conditions,1
2327,presentations,any communication,1
2328,computation,calculus,1
2329,alyaksandr,alexander,1
2330,hoard,fortune,1
2331,dorm,domicile,0
2332,thrive,are increasing,1
2333,country,a nation,0
2334,offer,donates,0
2335,public discussions,debates,1
2337,hurting,getting hurt,1
2338,our lives,lifetime,0
2339,rescued,are saved,1
2340,i could,able,0
2342,certificates,a note,1
2343,weapons,the gun,1
2345,exited,ended,1
2347,thrilled,extremely pleased,1
2348,specimens,a model,1
2351,cupcakes,cakes,1
2352,too low,lacking,0
2353,undergraduates,scholars,1
2354,withstand,hang on,1
2356,they all,participants,0
2357,repaired,properly maintained,0
2358,something,some form,0
2359,intended to be,expects,1
2360,mitigate,cushion,1
2361,human beings,beings,0
2362,public opinion,beliefs,1
2363,pies,cakes,1
2365,witnessing,noticing,1
2366,go down,down,1
2367,lifespan,duration,0
2368,these institutions,establishment,1
2369,points,other issues,1
2370,forgive,excuse,1
2371,machines,aircraft,0
2374,good enough,fair,0
2375,gone down,fallen,1
2376,various types,models,0
2377,the agency,headquarters,0
2378,survived,overcame,0
2379,enhancing,developmental,0
2380,the district,regions,1
2381,supports,pro,0
2382,detained,confiscated,0
2383,orbiting,orbital,1
2386,plains,grassland,0
2387,tempest,gale,1
2389,thinks,focusses,0
2390,the scenery,scenes,1
2392,well-off,moderately prosperous,0
2393,our businesses,enterprises,0
2394,diversity,biodiversity,0
2395,strangers,outsiders,0
2396,the film,movie,1
2399,the fine,penalty,0
2400,arming,armed men,0
2401,region,area of,1
2402,has increased,expanding,0
2403,impact,an influence,0
2404,were built,building,1
2405,succeeding,came through,1
2406,pervasive,persistent,1
2407,conducted,are held,1
2409,the cargo,merchandise,0
2410,so well,properly,0
2411,health clinics,clinic,1
2412,musicians,artists,1
2413,period,an age,1
2415,towns,the city,1
2416,the vehicles,automobiles,0
2417,spouses,husbands,1
2419,donates,contributions,0
2422,savage,fierce,1
2423,sought out,intended,0
2425,prepared,drew up,1
2426,is established,establishment,1
2427,lots,a huge amount,0
2428,joking,having fun,1
2429,verify,check,1
2430,top-of-the-range,high-end,1
2431,stance,her position,1
2432,is expected,anticipate,0
2433,nighthawk,hawk,1
2434,used,reused,1
2435,transmitting,transmitted,1
2436,the cargo,goods,0
2437,plentiful,lavish,0
2438,want you to,insisted,0
2439,opponents,enemies,1
2440,proclamation,designation,1
2441,self-respect,self-esteem,0
2442,need,necessity,0
2444,stop,shut up,0
2446,the discussions,debates,0
2447,"hungry , right",hungry,1
2448,the material,ingredients,0
2449,the bullets,gunfire,1
2450,traveling,going away,1
2451,upheld,be preserved,1
2454,pentagon officials,pentagon,1
2455,to buy,buyer,0
2456,sensitive,aware of,1
2457,tracking down,monitor,0
2458,saturated,overloaded,1
2459,the collapse,destruction,0
2460,was saying,tells,1
2461,vaccine,vaccination,1
2463,stamp,a mark,1
2464,ranks,classifications,0
2465,shopping,is purchased,0
2466,updating,updated information,0
2467,important,a major,0
2468,swim,dive,0
2470,developmental,development-,1
2471,understands,can see,1
2472,new ideas,ideas,1
2473,the garbage,refuse,0
2474,sudden,abrupt,0
2475,very few,rarely,0
2476,the owner,ownership,0
2477,hostile,confrontational,0
2478,less than,fewer,0
2479,tremendously,dramatically,1
2480,now,meantime,0
2482,insurgents,armed men,1
2483,to remain,stay,1
2484,was falling,falls,1
2485,luxurious,lavish,1
2486,saturdays,next saturday,0
2487,reviewer,critic,1
2489,specifically,individually,1
2491,installing,installation,1
2492,dorm,accommodation,0
2493,periods,certain periods,0
2494,superior,preeminent,0
2495,was identified,discovered,1
2496,techniques,technical capabilities,0
2497,records,marks,1
2498,the scores,score,1
2500,alex,-he,1
2501,devise,design,1
2502,subscriber,a customer,1
2503,ire,angered,1
2504,more complex,difficult,1
2505,go down,decreasing,0
2506,thrust,pushing,1
2507,unskilled,low-skilled,1
2508,successes,succeeds,1
2509,well-to-do,well-off,1
2510,malcolm,he,1
2512,ingredients,components,1
2513,sustainable and long-term,sustainable,1
2514,imagined,dream about,1
2516,strategies,new ways,1
2517,lamps,flashlights,1
2518,the ranch,farm,1
2519,do now,act,0
2520,protestant,christian,1
2521,values,treasured,0
2522,projectiles,missile,1
2523,timeline,time frames,0
2524,improves,getting better,1
2525,the owner,bosses,1
2526,staggeringly,remarkably,1
2528,noise,hum,0
2529,receive,been given,1
2530,the classification,designation,1
2531,the subjects,material,1
2532,resign,give up on,1
2533,florida,fla .,1
2534,leaving,going away,1
2535,transformed,modified,1
2537,neighbor,its neighbour,0
2538,your father,pops,1
2539,was saying,explained,0
2541,the behavior,acts,1
2542,wizard,warlock,0
2543,to assist,assistance,1
2545,golf courses,golf,1
2547,new equipment,equipment,1
2548,five-year-old,5-year-old,1
2549,the second,2nd,0
2550,sector,a branch,1
2551,the doubts,skepticism,0
2552,the chest,breast,0
2554,the procedure,operations,0
2555,boards,a committee,0
2556,will be assessed,evaluated,1
2557,educators,educational establishments,0
2559,secretly,clandestine,0
2560,the gathering,crowds,1
2561,revive,re-ignite,0
2562,raises,brought up,1
2563,waits,hang on,1
2565,musicians,creators,0
2568,is amended,changed,1
2570,the building blocks,foundations,0
2571,postings,postes,1
2572,out,far off,0
2573,robes,coats,1
2574,best,a lot better,0
2575,reused,converted,0
2576,changing,changed,1
2577,this assistance,subsidies,0
2578,my mother,mummy,1
2579,the substance,materials,1
2580,retail,department stores,1
2582,region,area that,1
2583,the men,persons,1
2586,deserve,'ve earned it,0
2587,nil,absent,1
2588,public opinion,perception,1
2589,that people,guys,1
2590,preparing for,developing,0
2591,postings,openings,1
2592,tracking down,identifying,1
2593,supported,encouraged,0
2594,whales,killer whales,0
2595,proceedings,discussions,1
2596,closings,closes,1
2598,picture,mri,0
2600,to start,begins,1
2601,cesar,caesar,1
2603,plantation,farmland,1
2605,intelligent,brains,1
2606,the owner,holders,0
2607,pictures,pics,1
2608,the hill,mountain,1
2610,offenders,criminal offences,0
2611,the procedure,guidelines,1
2612,myth,legend,1
2615,holiday,fiesta,0
2618,pathogenic,pathogen,1
2619,intends,intended to,1
2620,mid-1960s,1960s,1
2622,the palestinian refugees,refugees,1
2623,the planning,preparatory,0
2624,n.j.,jersey,1
2625,pressure,high pressure,0
2626,servant,maid,1
2627,practiced,participated,0
2628,investigated,ascertained,0
2629,allies,allied,1
2630,lowered,is low,1
2631,shortly,pretty soon,1
2633,the big,tall,1
2634,emerge,coming out,1
2635,the dirt,sand,1
2636,the likelihood,probability,0
2637,small-town,little,1
2638,the men,mates,0
2639,the men,human,0
2640,health problems,diseases,1
2641,themes,the subjects,1
2642,unforeseen,sudden,1
2643,re-energize,energize,1
2644,"well , catherine",catherine,1
2646,unleashed,is released,1
2647,truly,full-fledged,0
2648,told him,told,1
2649,the owner,ruler,0
2651,so apparently,seemingly,0
2653,revive,revitalize,1
2654,650,65,1
2656,working,that job,0
2657,calculus,calculation,1
2658,preparedness,preparatory,1
2660,nuisance,disruption,1
2661,elude,dodge,1
2662,reports,announcements,0
2663,producing,developing,1
2664,correspondents,correspondences,0
2665,gunman,armed men,0
2666,loads,a pile,0
2667,heads,headers,0
2668,expanding,adding to,1
2669,increase,come up,0
2671,existing,available,1
2672,involved,have participated,0
2673,the building blocks,elements,0
2674,paragraphes,chapters,1
2675,play,acting,0
2676,diversity,disparity,0
2678,um,hum,1
2679,wander,walk out,1
2680,offended,'m upset,1
2681,yanks,u.s,1
2682,the hunger,hungry,1
2684,seemingly,ostensibly,0
2685,the united states,country,1
2686,farmland,cropland,1
2687,staunch,persistent,1
2688,seen,can see,1
2689,will be done,happen,1
2690,scale,further expansion,0
2691,such wastes,debris,1
2693,made possible,could,1
2694,safeguards,preserves,1
2696,their case,arguments,1
2698,asks,asked for,0
2699,to act,react,0
2700,tuition,expense,1
2701,knowing,aware of,0
2703,us forces,pentagon,0
2704,medicine,medically,0
2705,the opinions,position,0
2706,use of computers,computers,1
2707,to flee,bail,0
2709,indictment,incrimination,1
2710,supported,partnered,0
2711,rage,ire,0
2712,have on,dressed,1
2713,the accusations,indictment,1
2716,sensibly,cautiously,1
2717,sin,a social insurance number,0
2718,problems,health problems,1
2719,fasteners,closings,1
2720,shipping,maritime transport,0
2721,principal,managing director,0
2723,the women,daughters,0
2725,track,orbiting,0
2726,watching,look after him,0
2727,to flee,retreat,1
2729,the surgery,operations,1
2730,workout,sport,1
2731,scans,mri,0
2732,"is established ,",establishment,1
2734,size,number,1
2735,problem,health problems,0
2736,quantity,a huge amount,1
2737,brains,a mind,0
2738,our game,gambling,0
2739,the protection of,protect,1
2740,succeeds,be a success,1
2742,records,personal information,0
2746,territory,area that,1
2747,the women,mothers,1
2749,the big,significant,0
2750,political party,party,0
2751,separatism,dividing,1
2752,the site,location,1
2753,partly,kind of,1
2754,the company 's,companies,1
2755,untrained,unskilled,0
2756,refugees,refugee children,0
2757,typhoon,tempest,1
2758,paws,feet,1
2759,recreational,leisure time,1
2761,coordinates,coordinate,1
2762,lacking,absent,1
2764,is,are now,0
2765,the subjects,targets,0
2766,to eat,feeding,0
2767,self-defense,fight back,1
2768,treasures,artefacts,1
2769,drew up,drafted,0
2772,scrambled,rushed,1
2773,servant,minion,0
2774,demonstrations,a showcase,1
2775,musicians,artists ',1
2777,reticently,cautiously,1
2778,weekend,next weekend,1
2780,robes,dresses,1
2781,internship,fellowship,1
2782,sheriff,lawman,0
2783,carried out,accomplished,0
2784,the woman,females,0
2785,substantial,lofty,1
2786,food production,farming,1
2787,volunteering,voluntary organizations,0
2789,salaries,paychecks,1
2790,including,encompassing,0
2791,unrelated,alien,1
2793,is reviewed,investigated,0
2796,froze,been frozen,0
2797,unanimously,absolutely,1
2798,servant,employee,1
2801,the smoke,smoking,1
2803,proposition,argument,1
2805,ruling,has decided,1
2806,dip,are low,1
2808,is one,belong,1
2809,one or two,either,1
2813,caregiver,care,1
2814,to be amended,modified,1
2816,worker,caregiver,0
2817,zip,postal,1
2819,going away,abandon,0
2820,the likelihood,possibilities,1
2824,snacks,cupcakes,0
2825,the studies,surveys,0
2826,absent,absences,1
2827,walk out,leaving,0
2828,predictors,gauges,1
2831,the assumption,speculation,1
2832,view,public opinion,0
2833,very intensively,actively,1
2834,pancakes,cakes,1
2836,skepticism,distrust,1
2837,testing,sensors,1
2838,sustainable,environmentally sustainable,0
2839,the customer,him,1
2840,discussion,debates,1
2841,had stopped,froze,0
2842,condos,apartments,1
2844,lunchroom,lunch,1
