majority,total,x,y,gold
6,7,expressions,emotion,"turkers=""emotion"""
7,7,remaining,odd,"turkers=""odd"""
7,7,question,determinations,"turkers=""question"""
6,7,usual,standard,"turkers=""usual"""
5,7,recall,graco strollers,"turkers=""recall"""
6,7,prayed,implored,"turkers=""prayed"""
7,7,standard,is0 #####,"turkers=""standard"""
6,7,formulated,define,"turkers=""define"""
3,7,involution,elaboration,"turkers=""NA"""
5,7,the,rehabilitation,"turkers=""the"""
7,7,kosan proprietary,formulated,"turkers=""formulated"""
7,7,motivate,empowered,"turkers=""motivate"""
3,7,principal,essential,"turkers=""principal"""
3,7,wave,have,"turkers=""have"""
4,7,stock,standard,"turkers=""stock"""
4,7,tributes,rehabilitation,"turkers=""rehabilitation"""
3,7,political,economic,"turkers=""economic"""
5,7,sticking,pulling,"turkers=""pulling"""
6,7,formulated,arrange,"turkers=""arrange"""
5,7,sticking,amazing,"turkers=""amazing"""
6,7,ineligible,benefit,"turkers=""benefit"""
3,7,priority,essential,"turkers=""NA"""
7,7,persuade,empowered,"turkers=""persuade"""
5,7,keen,corking,"turkers=""keen"""
6,7,enforce,constrained,"turkers=""enforce"""
3,7,encrypted,encode,"turkers=""encode"""
5,7,holder,bear,"turkers=""bear"""
6,7,unlikeable,likable,"turkers=""likable"""
5,7,standard,stan dards,"turkers=""standard"""
6,7,statutorily prescribed,determinations,"turkers=""determinations"""
5,7,settling,descending,"turkers=""settling"""
6,7,determining,determinations,"turkers=""determining"""
3,7,rehabilitation,outpatient,"turkers=""rehabilitation"""
7,7,vegan,choice,"turkers=""choice"""
6,7,surmisal,hypothesis,"turkers=""hypothesis"""
7,7,iontophoretic delivery,formulated,"turkers=""formulated"""
5,7,text,edition,"turkers=""text"""
7,7,detain,constrained,"turkers=""detain"""
3,7,vested,empowered,"turkers=""NA"""
5,7,keen,groovy,"turkers=""keen"""
6,7,feed,breeding,"turkers=""feed"""
4,7,surgical,hypothesis,"turkers=""surgical"""
4,7,grants,consent,"turkers=""grants"""
6,7,scattered,empowered,"turkers=""scattered"""
5,7,unapproachability,accessibility,"turkers=""accessibility"""
6,7,slap-up,keen,"turkers=""keen"""
6,7,requirement,agreement,"turkers=""agreement"""
6,7,constrained,confine,"turkers=""confine"""
5,7,convey,compose,"turkers=""compose"""
7,7,rocket,rocket,"turkers=""NA"""
6,7,touches,disturbs,"turkers=""touches"""
5,7,frustrates,disturbs,"turkers=""disturbs"""
7,7,commanders morris kallon,battlefields,"turkers=""battlefields"""
3,7,uncertainty,nervousness,"turkers=""nervousness"""
6,7,factor,essential,"turkers=""factor"""
5,7,notion,expressions,"turkers=""notion"""
6,7,markers,mark,"turkers=""mark"""
7,7,partially hydrolyzed,formulated,"turkers=""formulated"""
7,7,prayed,agha haji lalai,"turkers=""prayed"""
6,7,formulated,execute,"turkers=""execute"""
5,7,really,genuine,"turkers=""really"""
5,7,vitally necessary,essential,"turkers=""essential"""
3,7,formulating,formulated,"turkers=""NA"""
4,7,thought,mind,"turkers=""mind"""
3,7,requirement,regulations,"turkers=""NA"""
6,7,requirement,factor,"turkers=""factor"""
6,7,resting,remaining,"turkers=""resting"""
6,7,perturbed,alarmed,"turkers=""alarmed"""
6,7,several,entity,"turkers=""several"""
7,7,gesticulations,expressions,"turkers=""expressions"""
6,7,couple,complement,"turkers=""couple"""
6,7,requirement,certain,"turkers=""certain"""
7,7,instability,balance,"turkers=""balance"""
4,7,escape,bank,"turkers=""escape"""
6,7,ending,conclusion,"turkers=""ending"""
4,7,sticking,putting,"turkers=""putting"""
6,7,standard,specification,"turkers=""standard"""
6,7,the,holder,"turkers=""the"""
3,7,requirement,amendment,"turkers=""amendment"""
4,7,sticking,fuck,"turkers=""fuck"""
7,7,standard,fortran,"turkers=""standard"""
7,7,falling,descending,"turkers=""falling"""
7,7,slowed,slackened,"turkers=""slowed"""
7,7,determine,determinations,"turkers=""determine"""
7,7,improve,empowered,"turkers=""improve"""
4,7,choose,choice,"turkers=""NA"""
4,7,keen,eagerness,"turkers=""eagerness"""
3,7,restriction,requirement,"turkers=""restriction"""
7,7,uniformly,homogeneous,"turkers=""uniformly"""
7,7,standard,ieee ###.#an standard,"turkers=""standard"""
4,7,borrows,borrow,"turkers=""borrow"""
7,7,odd,leftover,"turkers=""odd"""
6,7,implicates,exonerating,"turkers=""implicates"""
5,7,terminate,implicates,"turkers=""terminate"""
5,7,formulated,classify,"turkers=""classify"""
7,7,hypothesis,guess,"turkers=""guess"""
3,7,formulated,endorsed,"turkers=""endorsed"""
7,7,restrict,constrained,"turkers=""restrict"""
6,7,expressions,controls,"turkers=""controls"""
5,7,synergize,complement,"turkers=""complement"""
4,7,fettered,constrained,"turkers=""constrained"""
5,7,reflected,driven,"turkers=""driven"""
7,7,needed,essential,"turkers=""needed"""
6,7,resting,reaching,"turkers=""resting"""
5,7,manufacture,formulated,"turkers=""manufacture"""
6,7,trader,eliza,"turkers=""trader"""
3,7,wave,date,"turkers=""NA"""
6,7,visually pleasing,pleasing,"turkers=""pleasing"""
6,7,notifying,alerted,"turkers=""alerted"""
6,7,sticking,perplexing,"turkers=""sticking"""
3,7,pushed,driven,"turkers=""driven"""
4,7,unrestricted,constrained,"turkers=""unrestricted"""
7,7,implicates,designate,"turkers=""designate"""
4,7,course,conclusion,"turkers=""course"""
7,7,formulated,concretized,"turkers=""formulated"""
6,7,keen,good,"turkers=""good"""
4,7,professing,express,"turkers=""express"""
5,7,pleasing,find,"turkers=""find"""
6,7,forward,formulated,"turkers=""forward"""
4,7,notifying,advising,"turkers=""notifying"""
3,7,slowed,down,"turkers=""down"""
5,7,govern,formulated,"turkers=""govern"""
5,7,prayed,let,"turkers=""let"""
5,7,thought,idea,"turkers=""idea"""
4,7,forced,driven,"turkers=""forced"""
4,7,contract,complement,"turkers=""complement"""
5,7,investigation,investigate,"turkers=""investigate"""
7,7,judge leopold borrello,conclusion,"turkers=""conclusion"""
7,7,decrease,constrained,"turkers=""decrease"""
7,7,omnipotent,empowered,"turkers=""empowered"""
7,7,unmated,odd,"turkers=""odd"""
7,7,nurtureding,breeding,"turkers=""breeding"""
4,7,recreate,compose,"turkers=""recreate"""
7,7,rehabilitation,narmada dam oustees,"turkers=""rehabilitation"""
6,7,entity,bakonzo demanded,"turkers=""entity"""
6,7,generate,formulated,"turkers=""generate"""
3,7,forestall,constrained,"turkers=""constrained"""
4,7,american,america,"turkers=""america"""
6,7,sticking,stay,"turkers=""stay"""
4,7,descending,decrease,"turkers=""decrease"""
7,7,peculiar,odd,"turkers=""odd"""
5,7,leakage,escape,"turkers=""escape"""
6,7,driven,accessed,"turkers=""driven"""
6,7,formulated,adopt,"turkers=""adopt"""
6,7,complement,accompaniment,"turkers=""complement"""
4,7,constraints,constrained,"turkers=""NA"""
7,7,strategy gprs,formulated,"turkers=""formulated"""
7,7,impelled,driven,"turkers=""driven"""
6,7,overshadowed,driven,"turkers=""driven"""
6,7,repaupo road,rehabilitation,"turkers=""rehabilitation"""
7,7,standard,bs en #####,"turkers=""standard"""
7,7,thought,intellection,"turkers=""thought"""
7,7,conclude,complement,"turkers=""conclude"""
7,7,increase,broadening,"turkers=""increase"""
4,7,support,essential,"turkers=""support"""
5,7,requirement,demand,"turkers=""demand"""
4,7,formulated,forged,"turkers=""forged"""
7,7,odd,emaciation,"turkers=""odd"""
4,7,jeopardize,constrained,"turkers=""constrained"""
7,7,relate,implicates,"turkers=""relate"""
6,7,laughs,jape,"turkers=""laughs"""
5,7,intricacy,elaboration,"turkers=""elaboration"""
6,7,rehabilitation,cultivatable lands,"turkers=""rehabilitation"""
6,7,compose,complete,"turkers=""complete"""
7,7,rule,reigning,"turkers=""rule"""
7,7,rocket,homemade qassam rockets,"turkers=""rocket"""
6,7,sticking,dumfounding,"turkers=""sticking"""
7,7,requirement,excessively burdensome,"turkers=""requirement"""
4,7,piercing,keen,"turkers=""keen"""
5,7,hypothesis,assertion,"turkers=""assertion"""
5,7,further,empowered,"turkers=""further"""
7,7,uncertainty,uncertainty,"turkers=""NA"""
7,7,wrestleback,pinned,"turkers=""pinned"""
4,7,constrained,cognizant,"turkers=""constrained"""
5,7,distortive effects,constrained,"turkers=""constrained"""
5,7,availability,accessibility,"turkers=""availability"""
5,7,warning,notifying,"turkers=""warning"""
6,7,responsive,empowered,"turkers=""responsive"""
4,7,unstableness,instability,"turkers=""instability"""
4,7,really,odd,"turkers=""odd"""
6,7,prevent,constrained,"turkers=""prevent"""
6,7,corroborate,complement,"turkers=""complement"""
5,7,laughs,caught,"turkers=""laughs"""
7,7,odd,interesting,"turkers=""odd"""
5,7,ineligible,eligible,"turkers=""eligible"""
7,7,his,escape,"turkers=""his"""
7,7,encrypted,code,"turkers=""code"""
5,7,stabbing,keen,"turkers=""stabbing"""
3,7,standard,rates,"turkers=""rates"""
7,7,ratiocination,conclusion,"turkers=""conclusion"""
6,7,efficient,ecologically friendly,"turkers=""efficient"""
7,7,standard,iso #####-#,"turkers=""standard"""
7,7,contain,constrained,"turkers=""contain"""
6,7,doors,choice,"turkers=""doors"""
6,7,wordsmithing,elaboration,"turkers=""elaboration"""
7,7,standard,ieee###.#,"turkers=""standard"""
7,7,sentelle wrote,determinations,"turkers=""determinations"""
4,7,constrained,buffered,"turkers=""constrained"""
7,7,impacted,constrained,"turkers=""impacted"""
7,7,rummy,odd,"turkers=""odd"""
5,7,renovation,rehabilitation,"turkers=""renovation"""
4,7,formulated,compile,"turkers=""compile"""
3,7,notifying,confront,"turkers=""confront"""
5,7,mimic,emulate,"turkers=""mimic"""
4,7,disturbs,commons,"turkers=""disturbs"""
6,7,participate,implicates,"turkers=""participate"""
4,7,enterprise,endeavor,"turkers=""endeavor"""
5,7,integrate,complement,"turkers=""complement"""
7,7,evision,escape,"turkers=""escape"""
6,7,markers,immunofluorescent,"turkers=""markers"""
4,7,integrates,complement,"turkers=""complement"""
5,7,formulated,establish,"turkers=""establish"""
4,7,requirement,instrument,"turkers=""instrument"""
5,7,standard,computer,"turkers=""standard"""
5,7,unparalleled,unequaled,"turkers=""unequaled"""
5,7,introduce,formulated,"turkers=""introduce"""
7,7,standard,automated dialers,"turkers=""standard"""
6,7,scheduled,released,"turkers=""released"""
4,7,keen,cutting,"turkers=""cutting"""
7,7,grants,bushrangs,"turkers=""grants"""
6,7,formulated,collect,"turkers=""collect"""
7,7,slowed,impeded,"turkers=""slowed"""
5,7,grants,gather,"turkers=""gather"""
6,7,constrained,adversely impacted,"turkers=""constrained"""
5,7,rude,natural,"turkers=""rude"""
5,7,standard,flag,"turkers=""flag"""
7,7,empowered,democratically accountable,"turkers=""empowered"""
7,7,go,complement,"turkers=""go"""
6,7,resting,recuperate,"turkers=""resting"""
4,7,entity,agency,"turkers=""agency"""
7,7,manifestations,expressions,"turkers=""expressions"""
5,7,escapes,escape,"turkers=""escape"""
7,7,pak,choice,"turkers=""choice"""
4,7,standard,song,"turkers=""song"""
7,7,requirement,federally mandated,"turkers=""requirement"""
6,7,wheelchairs,wheel,"turkers=""wheel"""
5,7,constrained,complicate,"turkers=""complicate"""
5,7,specification,requirement,"turkers=""requirement"""
6,7,complement,combine,"turkers=""combine"""
5,7,thought,celebrate,"turkers=""thought"""
6,7,sticking,mastering,"turkers=""sticking"""
7,7,to,escape,"turkers=""to"""
6,7,mistrusting,dismayed disheartened,"turkers=""mistrusting"""
4,7,standard,instructions,"turkers=""instructions"""
5,7,thwart,constrained,"turkers=""constrained"""
7,7,enriched,encrypted,"turkers=""enriched"""
6,7,worded,formulated,"turkers=""worded"""
4,7,resting,breathing,"turkers=""resting"""
7,7,their,rehabilitation,"turkers=""their"""
7,7,inspection,determinations,"turkers=""inspection"""
3,7,determinations,decision-makers,"turkers=""decision-makers"""
6,7,resolve,determinations,"turkers=""resolve"""
5,7,pick,choice,"turkers=""pick"""
5,7,expressions,aspect,"turkers=""expressions"""
4,7,recall,echo,"turkers=""recall"""
7,7,wave,brandish,"turkers=""wave"""
7,7,empowered,develop,"turkers=""develop"""
7,7,essential,essential,"turkers=""NA"""
7,7,incentive grants,grants,"turkers=""grants"""
7,7,nurses,amputations,"turkers=""nurses"""
5,7,reintegration,rehabilitation,"turkers=""rehabilitation"""
7,7,print edition,edition,"turkers=""edition"""
5,7,entity,county,"turkers=""county"""
6,7,uncertainty,dubiousnes,"turkers=""uncertainty"""
7,7,genteelnesing,breeding,"turkers=""breeding"""
5,7,temblor,earthquake,"turkers=""earthquake"""
6,7,hypothesis,assumption,"turkers=""assumption"""
6,7,standard,requirements,"turkers=""standard"""
5,7,promising,pleasing,"turkers=""pleasing"""
3,7,requirement,guarantee,"turkers=""requirement"""
7,7,grants,cdbgs,"turkers=""grants"""
4,7,horrifies,disturbs,"turkers=""disturbs"""
6,7,descending,coming,"turkers=""coming"""
6,7,holder,champion danni miatke,"turkers=""holder"""
7,7,need,essential,"turkers=""need"""
6,7,empowered,authorized,"turkers=""authorized"""
5,7,genuine,bonafide,"turkers=""genuine"""
3,7,ponies,grants,"turkers=""ponies"""
7,7,unfeigned,genuine,"turkers=""genuine"""
6,7,rehabilitation,re hab,"turkers=""re hab"""
5,7,phrased,formulated,"turkers=""phrased"""
4,7,sheikh,mufti,"turkers=""sheikh"""
5,7,summation,conclusion,"turkers=""conclusion"""
6,7,implicates,cite,"turkers=""cite"""
6,7,facial expressions,expressions,"turkers=""expressions"""
3,7,thesis,hypothesis,"turkers=""hypothesis"""
4,7,populate,complement,"turkers=""complement"""
6,7,lessen,constrained,"turkers=""lessen"""
5,7,leak,escape,"turkers=""leak"""
6,7,investigate,formulated,"turkers=""investigate"""
7,7,evidentiary rulings,determinations,"turkers=""determinations"""
4,7,laughs,laughing,"turkers=""NA"""
7,7,substantive,essential,"turkers=""essential"""
6,7,decision,conclusion,"turkers=""decision"""
6,7,opinion,determinations,"turkers=""opinion"""
7,7,somebody,somebody,"turkers=""NA"""
7,7,evident partiality,determinations,"turkers=""determinations"""
4,7,investigate,inquire,"turkers=""inquire"""
7,7,imply,implicates,"turkers=""imply"""
6,7,regulate,formulated,"turkers=""regulate"""
5,7,thought,guess,"turkers=""guess"""
6,7,prohibit,constrained,"turkers=""prohibit"""
7,7,impugns,implicates,"turkers=""implicates"""
4,7,unlawful,unconventional,"turkers=""unlawful"""
4,7,mimic,liken,"turkers=""liken"""
4,7,expressions,declaration,"turkers=""declaration"""
4,7,wrongful,unlawful,"turkers=""wrongful"""
6,7,rights,expressions,"turkers=""rights"""
7,7,constrained,condition,"turkers=""condition"""
3,7,restraint,requirement,"turkers=""requirement"""
7,7,empowered,dalits adivasis,"turkers=""empowered"""
7,7,la. code civ,determinations,"turkers=""determinations"""
5,7,gotten,driven,"turkers=""gotten"""
6,7,someone,somebody,"turkers=""someone"""
7,7,tssa unions,boycotting,"turkers=""boycotting"""
5,7,participate,grants,"turkers=""participate"""
7,7,listed,codified,"turkers=""listed"""
7,7,overload,overabundance,"turkers=""overload"""
6,7,regret,disappointment,"turkers=""regret"""
4,7,pleasing,please,"turkers=""please"""
4,7,alert,alarmed,"turkers=""alert"""
5,7,determinations,assessments,"turkers=""assessments"""
5,7,uncovers,implicates,"turkers=""uncovers"""
6,7,squirrels,hypothesis,"turkers=""squirrels"""
6,7,rehabilitation,re-education,"turkers=""rehabilitation"""
7,7,document,complement,"turkers=""document"""
6,7,rehabilitation,casa colina centers,"turkers=""rehabilitation"""
6,7,purposes,determinations,"turkers=""purposes"""
6,7,involve,complement,"turkers=""involve"""
3,7,correlate,constrained,"turkers=""constrained"""
6,7,grants,accept,"turkers=""accept"""
7,7,laughs,gag,"turkers=""laughs"""
7,7,untouched,uninfluenced,"turkers=""untouched"""
7,7,standard,standard,"turkers=""NA"""
5,7,slowed,lacked,"turkers=""slowed"""
4,7,representations,determinations,"turkers=""representations"""
7,7,formulated,drafted,"turkers=""drafted"""
6,7,contribute,complement,"turkers=""contribute"""
4,7,descending,converging,"turkers=""descending"""
7,7,requirement,materiality threshold,"turkers=""requirement"""
7,7,treatment,rehabilitation,"turkers=""treatment"""
7,7,imbalances,dissymmetry,"turkers=""imbalances"""
6,7,color,breeding,"turkers=""color"""
4,7,contemplate,constrained,"turkers=""constrained"""
6,7,wished,encrypted,"turkers=""wished"""
5,7,impede,constrained,"turkers=""impede"""
6,7,rehabilitation,intensive physiotherapy,"turkers=""rehabilitation"""
4,7,standard,banner,"turkers=""banner"""
5,7,sticking,lodging,"turkers=""sticking"""
6,7,formulated,foresee,"turkers=""foresee"""
6,7,stipulation,requirement,"turkers=""requirement"""
4,7,mimicked,mimic,"turkers=""NA"""
6,7,thing,entity,"turkers=""thing"""
5,7,uncertainty,instability,"turkers=""uncertainty"""
7,7,sticking,sit,"turkers=""sit"""
5,7,railway,rail,"turkers=""rail"""
7,7,evening,breeding,"turkers=""evening"""
6,7,termination,conclusion,"turkers=""conclusion"""
4,7,requirement,communications,"turkers=""communications"""
6,7,observation,expressions,"turkers=""observation"""
5,7,severely curtailed,constrained,"turkers=""constrained"""
3,7,marking,markers,"turkers=""markers"""
5,7,resource,requirement,"turkers=""resource"""
5,7,hummed,constrained,"turkers=""hummed"""
5,7,worrisome,disturbing,"turkers=""disturbing"""
6,7,standard,format,"turkers=""standard"""
7,7,constrained,cabined,"turkers=""constrained"""
7,7,odd,awkward,"turkers=""odd"""
7,7,sdgt,entity,"turkers=""entity"""
5,7,confirm,complement,"turkers=""confirm"""
7,7,reigning,champs,"turkers=""champs"""
7,7,opinion,expressions,"turkers=""opinion"""
6,7,formulated,determine,"turkers=""determine"""
5,7,jews,hitler,"turkers=""jews"""
6,7,findings,determinations,"turkers=""findings"""
3,7,notifying,inform,"turkers=""inform"""
7,7,rehabilitation,inpatient detoxification,"turkers=""rehabilitation"""
7,7,formulated,clarify,"turkers=""clarify"""
6,7,sticking,losing,"turkers=""losing"""
6,7,nicely complements,complement,"turkers=""complement"""
6,7,seeing,pleasing,"turkers=""seeing"""
7,7,join,complement,"turkers=""join"""
7,7,conclusion,close,"turkers=""close"""
4,7,gynecology,gynaecology,"turkers=""gynecology"""
5,7,formulated,assert,"turkers=""assert"""
6,7,inhibited,constrained,"turkers=""inhibited"""
5,7,train,rail,"turkers=""train"""
7,7,sceptre,empowered,"turkers=""empowered"""
6,7,synthesized,formulated,"turkers=""formulated"""
4,7,scarce,escape,"turkers=""escape"""
7,7,mon,choice,"turkers=""choice"""
7,7,grants,awards,"turkers=""awards"""
4,7,of,conclusion,"turkers=""of"""
5,7,sticking,baffling,"turkers=""sticking"""
6,7,severely circumscribed,constrained,"turkers=""constrained"""
7,7,standard,eu5 emissions,"turkers=""standard"""
6,7,uncertainty,incertitude,"turkers=""uncertainty"""
5,7,insincere,genuine,"turkers=""genuine"""
6,7,singular,odd,"turkers=""odd"""
7,7,elaboration,elaboration,"turkers=""NA"""
6,7,view,thought,"turkers=""view"""
4,7,complementary,complement,"turkers=""complement"""
5,7,correlate,complement,"turkers=""complement"""
4,7,impose,constrained,"turkers=""impose"""
7,7,opinion,conclusion,"turkers=""opinion"""
5,7,version,standard,"turkers=""standard"""
5,7,hurt,disturbs,"turkers=""hurt"""
7,7,pride,edition,"turkers=""pride"""
4,7,ring,resting,"turkers=""ring"""
7,7,formulated,advise,"turkers=""advise"""
7,7,cover,complement,"turkers=""cover"""
5,7,requirement,minimum,"turkers=""minimum"""
5,7,choice,award,"turkers=""choice"""
4,7,standard,six-month,"turkers=""six-month"""
6,7,laughs,giggles,"turkers=""laughs"""
6,7,sunpill,formulated,"turkers=""formulated"""
7,7,identity,entity,"turkers=""identity"""
7,7,synergistic,complement,"turkers=""complement"""
7,7,unscrupulous,odd,"turkers=""odd"""
6,7,prc,entity,"turkers=""entity"""
7,7,running,reigning,"turkers=""running"""
7,7,individualized determinations,determinations,"turkers=""determinations"""
6,7,enrol,complement,"turkers=""complement"""
3,7,expressions,efficient,"turkers=""efficient"""
6,7,enriched uranium,atomic,"turkers=""atomic"""
7,7,improvise,compose,"turkers=""compose"""
5,7,compose,animate,"turkers=""compose"""
7,7,expressions,derivations thereof,"turkers=""expressions"""
5,7,poorly soluble,formulated,"turkers=""formulated"""
5,7,endured,empowered,"turkers=""endured"""
4,7,worrisome,unnerved,"turkers=""worrisome"""
7,7,subsidisations,grants,"turkers=""grants"""
6,7,point,essential,"turkers=""point"""
4,7,perfectly suited,complement,"turkers=""complement"""
5,7,dovetail nicely,complement,"turkers=""complement"""
4,7,testify,complement,"turkers=""testify"""
5,7,verbalism,expressions,"turkers=""expressions"""
3,7,lymph,encrypted,"turkers=""encrypted"""
5,7,implicates,endangers,"turkers=""endangers"""
6,7,precondition,essential,"turkers=""essential"""
5,7,unparalleled,uniquely tailored,"turkers=""unparalleled"""
4,7,implement,complement,"turkers=""complement"""
6,7,tribute,rehabilitation,"turkers=""tribute"""
7,7,reproductioning,breeding,"turkers=""breeding"""
7,7,undervalued renminbi,imbalances,"turkers=""imbalances"""
6,7,times,determinations,"turkers=""times"""
6,7,trader,deal,"turkers=""deal"""
7,7,relate,formulated,"turkers=""relate"""
6,7,encompass,complement,"turkers=""complement"""
7,7,odd,bizzare,"turkers=""odd"""
5,7,power,empowered,"turkers=""power"""
4,7,rehabilitation,rehabilitating,"turkers=""NA"""
6,7,inference,conclusion,"turkers=""conclusion"""
7,7,hypothesis,anthropic principle,"turkers=""hypothesis"""
7,7,imbalances,dissymmetries,"turkers=""imbalances"""
7,7,complement,compete,"turkers=""compete"""
7,7,compose,collect,"turkers=""collect"""
6,7,natural,lifelike,"turkers=""natural"""
3,7,standard,measurement,"turkers=""NA"""
4,7,sticking,cling,"turkers=""cling"""
7,7,repudiates,implicates,"turkers=""implicates"""
5,7,lifelike facial expressions,expressions,"turkers=""expressions"""
7,7,comprise,complement,"turkers=""complement"""
7,7,rehabilitation,psychologist seto mulyadi,"turkers=""rehabilitation"""
5,7,genuine,and,"turkers=""and"""
7,7,mcaca,grants,"turkers=""grants"""
7,7,minimise,constrained,"turkers=""minimise"""
7,7,foregoes,borrows,"turkers=""borrows"""
5,7,unsuitable,ineligible,"turkers=""unsuitable"""
6,7,person,natural,"turkers=""person"""
6,7,wave,flourish,"turkers=""wave"""
4,7,formulated,approach paper,"turkers=""formulated"""
7,7,sticking,staying,"turkers=""staying"""
4,7,thought,asked,"turkers=""asked"""
7,7,scornful,insulting,"turkers=""insulting"""
6,7,pacific,ocean,"turkers=""ocean"""
4,7,fasting,conclusion,"turkers=""conclusion"""
7,7,trusting,mistrusting,"turkers=""trusting"""
3,7,uncertainty,doubtfulnes,"turkers=""uncertainty"""
7,7,renewal,rehabilitation,"turkers=""renewal"""
7,7,measure,formulated,"turkers=""measure"""
4,7,comprise,compose,"turkers=""compose"""
7,7,profiling,predictive algorithms,"turkers=""profiling"""
6,7,tracheotomies,amputations,"turkers=""amputations"""
5,7,implicates,flatly contradicts,"turkers=""implicates"""
5,7,implicates,contribute,"turkers=""contribute"""
3,7,constrained,coerce,"turkers=""constrained"""
5,7,refutes,implicates,"turkers=""implicates"""
4,7,sincere,genuine,"turkers=""sincere"""
7,7,mong,choice,"turkers=""choice"""
3,7,treatments,therapies,"turkers=""treatments"""
6,7,grants,arms,"turkers=""arms"""
6,7,submit,formulated,"turkers=""submit"""
5,7,provide,complement,"turkers=""provide"""
4,7,implicates,allocate,"turkers=""allocate"""
3,7,odd,funny,"turkers=""odd"""
7,7,other,complement,"turkers=""other"""
5,7,verb endings,expressions,"turkers=""expressions"""
4,7,laughter,laughs,"turkers=""laughs"""
5,7,expansion,elaboration,"turkers=""expansion"""
5,7,try,escape,"turkers=""try"""
7,7,recreationing,breeding,"turkers=""breeding"""
5,7,formulated,assess,"turkers=""assess"""
5,7,thought,believed,"turkers=""thought"""
7,7,uncertainty,great,"turkers=""great"""
5,7,therapies,medication,"turkers=""medication"""
7,7,planned,formulated,"turkers=""planned"""
7,7,ada compliant,accessibility,"turkers=""accessibility"""
5,7,plate,instability,"turkers=""plate"""
7,7,undersea quake,earthquake,"turkers=""earthquake"""
7,7,wheelchairs,chairs,"turkers=""chairs"""
6,7,sine quo,essential,"turkers=""essential"""
5,7,warrant,requirement,"turkers=""requirement"""
7,7,complement,come,"turkers=""come"""
6,7,neat,keen,"turkers=""neat"""
7,7,sudantha ranasinghe,rehabilitation,"turkers=""rehabilitation"""
3,7,standard,conditions,"turkers=""conditions"""
7,7,elaboration,a/##/###,"turkers=""elaboration"""
3,7,justifies,implicates,"turkers=""justifies"""
4,7,constrained,circumscribes,"turkers=""constrained"""
4,7,way,conclusion,"turkers=""way"""
4,7,grants,codes,"turkers=""codes"""
5,7,viscera,entrails,"turkers=""entrails"""
5,7,investigate,enquire,"turkers=""investigate"""
6,7,sticking,lick,"turkers=""lick"""
5,7,overload,clog,"turkers=""clog"""
5,7,centre-left,center-left,"turkers=""NA"""
7,7,standard,good,"turkers=""good"""
5,7,vitally important,essential,"turkers=""essential"""
5,7,ideally suited,complement,"turkers=""complement"""
5,7,sawing,breeding,"turkers=""sawing"""
6,7,thought,sensation,"turkers=""thought"""
4,7,imbalances,disabilities,"turkers=""imbalances"""
3,7,perfected,imitated,"turkers=""NA"""
4,7,standards,requirement,"turkers=""standards"""
3,7,sheikh,sheik,"turkers=""sheik"""
6,7,report,profiling,"turkers=""report"""
4,7,government-sponsored,government-led,"turkers=""government-led"""
5,7,synchronize,complement,"turkers=""complement"""
6,7,genuine,actual,"turkers=""actual"""
5,7,quite,odd,"turkers=""odd"""
7,7,requirement,requirement,"turkers=""NA"""
10,14,standard,requirement,"turkers=""standard"""
7,7,pacific,eastern/##,"turkers=""pacific"""
4,7,fits perfectly,complement,"turkers=""fits perfectly"""
5,7,language,edition,"turkers=""language"""
6,7,reformulated,formulated,"turkers=""formulated"""
4,7,resting,following,"turkers=""resting"""
6,7,constrained,binding constraint,"turkers=""constrained"""
6,7,thought,guns,"turkers=""guns"""
7,7,choice,alternative,"turkers=""choice"""
7,7,entity,body,"turkers=""body"""
4,7,sticking,binding,"turkers=""sticking"""
4,7,constrained,burdened,"turkers=""burdened"""
7,7,notifying,lookout bolo,"turkers=""notifying"""
6,7,standard,high,"turkers=""high"""
6,7,useful,essential,"turkers=""useful"""
5,7,renominating,reigning,"turkers=""reigning"""
7,7,outline,formulated,"turkers=""outline"""
4,7,ridden,driven,"turkers=""driven"""
6,7,used,hypothesis,"turkers=""used"""
6,7,promote gender equality,empowered,"turkers=""empowered"""
5,7,their,conclusion,"turkers=""their"""
4,7,complementing,complement,"turkers=""NA"""
5,7,complement,can,"turkers=""can"""
3,7,referents,expressions,"turkers=""referents"""
6,7,purpose,determinations,"turkers=""purpose"""
7,7,slowed,go,"turkers=""go"""
7,7,untouched,touch,"turkers=""touch"""
4,7,severely restricted,constrained,"turkers=""severely restricted"""
6,7,disturbs,affect,"turkers=""affect"""
3,7,flight,escape,"turkers=""NA"""
5,7,dismay,alarmed,"turkers=""alarmed"""
5,7,summarizing,pleasing,"turkers=""pleasing"""
4,7,prayed,pray,"turkers=""pray"""
7,7,hypothesis,evolvability,"turkers=""hypothesis"""
5,7,uncertainty,the,"turkers=""the"""
5,7,formulated,constructed,"turkers=""constructed"""
6,7,uncertainty,dubiety,"turkers=""uncertainty"""
3,7,complement,commend,"turkers=""commend"""
6,7,slowed,cool,"turkers=""cool"""
7,7,keen,hoping,"turkers=""hoping"""
5,7,correspond,complement,"turkers=""complement"""
7,7,holder,holder,"turkers=""NA"""
7,7,compose,choose,"turkers=""choose"""
7,7,expressions,approximations,"turkers=""expressions"""
4,7,compliment,complement,"turkers=""compliment"""
7,7,wave,swimmer,"turkers=""wave"""
5,7,thought,consider,"turkers=""thought"""
6,7,empowered,address,"turkers=""address"""
6,7,steap grants,grants,"turkers=""grants"""
